STATION,NAME,DATE,DATN,WINDSPEED,HUMIDITY,RAINFALL,PRCP,TAVG,TMAX,TMIN
ASN00086282,"MELBOURNE AIRPORT, AS",11/8/2000,,19,37,0,0,49,54,42
ASN00086282,"MELBOURNE AIRPORT, AS",12/8/2000,,26,27,0,0,46,52,45
ASN00086282,"MELBOURNE AIRPORT, AS",13/8/2000,,31,38,0,0.01,47,56,40
ASN00086282,"MELBOURNE AIRPORT, AS",14/8/2000,,17,76,0,0,51,58,40
ASN00086282,"MELBOURNE AIRPORT, AS",15/8/2000,,13,67,0,0.04,43,55,42
ASN00086282,"MELBOURNE AIRPORT, AS",16/8/2000,,26,50,0,0.15,44,54,37
ASN00086282,"MELBOURNE AIRPORT, AS",17/8/2000,,20,15,0,0.01,46,57,34
ASN00086282,"MELBOURNE AIRPORT, AS",18/8/2000,,35,11,0,0,49,61,36
ASN00086282,"MELBOURNE AIRPORT, AS",19/8/2000,,19,88,1.4,0,50,59,38
ASN00086282,"MELBOURNE AIRPORT, AS",20/8/2000,,20,96,56.8,0,50,55,43
ASN00086282,"MELBOURNE AIRPORT, AS",21/8/2000,,24,54,18,0,52,59,45
ASN00086282,"MELBOURNE AIRPORT, AS",22/8/2000,,20,52,0,0.06,47,56,43
ASN00086282,"MELBOURNE AIRPORT, AS",23/8/2000,,11,93,7,0.05,46,55,39
ASN00086282,"MELBOURNE AIRPORT, AS",24/8/2000,,37,56,5,0,50,54,37
ASN00086282,"MELBOURNE AIRPORT, AS",25/8/2000,,33,70,9.4,0.15,49,57,47
ASN00086282,"MELBOURNE AIRPORT, AS",26/8/2000,,26,55,0,0.09,51,60,43
ASN00086282,"MELBOURNE AIRPORT, AS",27/8/2000,,13,61,0,0.02,50,61,43
ASN00086282,"MELBOURNE AIRPORT, AS",28/8/2000,,30,32,0,0,50,59,41
ASN00086282,"MELBOURNE AIRPORT, AS",29/8/2000,,17,57,0,0.01,48,59,44
ASN00086282,"MELBOURNE AIRPORT, AS",30/8/2000,,19,65,0,0.13,49,58,39
ASN00086282,"MELBOURNE AIRPORT, AS",31/8/2000,,31,67,0,0.2,50,60,45
ASN00086282,"MELBOURNE AIRPORT, AS",1/9/2000,,17,96,7.8,0,53,63,43
ASN00086282,"MELBOURNE AIRPORT, AS",2/9/2000,,20,57,10.8,0.02,53,62,42
ASN00086282,"MELBOURNE AIRPORT, AS",3/9/2000,,20,67,0,0.2,50,60,45
ASN00086282,"MELBOURNE AIRPORT, AS",4/9/2000,,20,94,0.2,0,54,63,41
ASN00086282,"MELBOURNE AIRPORT, AS",5/9/2000,,20,57,0,0.04,47,55,44
ASN00086282,"MELBOURNE AIRPORT, AS",6/9/2000,,6,72,0,0.01,50,59,39
ASN00086282,"MELBOURNE AIRPORT, AS",7/9/2000,,11,61,0,0,51,56,41
ASN00086282,"MELBOURNE AIRPORT, AS",8/9/2000,,24,68,0,0.18,52,61,46
ASN00086282,"MELBOURNE AIRPORT, AS",9/9/2000,,13,54,0,0.15,51,59,47
ASN00086282,"MELBOURNE AIRPORT, AS",10/9/2000,,19,74,0,0.2,55,62,44
ASN00086282,"MELBOURNE AIRPORT, AS",11/9/2000,,31,71,2.6,0.06,48,56,49
ASN00086282,"MELBOURNE AIRPORT, AS",12/9/2000,,28,55,0,0.02,53,61,41
ASN00086282,"MELBOURNE AIRPORT, AS",13/9/2000,,24,77,0,0,58,66,44
ASN00086282,"MELBOURNE AIRPORT, AS",14/9/2000,,15,80,0,0,51,63,52
ASN00086282,"MELBOURNE AIRPORT, AS",15/9/2000,,26,66,0,0.04,54,66,41
ASN00086282,"MELBOURNE AIRPORT, AS",16/9/2000,,41,43,0,0,61,70,43
ASN00086282,"MELBOURNE AIRPORT, AS",17/9/2000,,15,95,14,0,58,65,51
ASN00086282,"MELBOURNE AIRPORT, AS",18/9/2000,,9,62,0,0,56,67,51
ASN00086282,"MELBOURNE AIRPORT, AS",19/9/2000,,24,74,0,0,53,67,48
ASN00086282,"MELBOURNE AIRPORT, AS",20/9/2000,,22,56,0,0.15,57,67,39
ASN00086282,"MELBOURNE AIRPORT, AS",21/9/2000,,26,58,0,0,53,66,47
ASN00086282,"MELBOURNE AIRPORT, AS",22/9/2000,,9,69,0,0,55,65,43
ASN00086282,"MELBOURNE AIRPORT, AS",23/9/2000,,30,41,0,0,57,65,45
ASN00086282,"MELBOURNE AIRPORT, AS",24/9/2000,,30,65,1.4,0,54,64,50
ASN00086282,"MELBOURNE AIRPORT, AS",25/9/2000,,24,50,0,0.16,51,53,51
ASN00086282,"MELBOURNE AIRPORT, AS",26/9/2000,,15,64,0,1.13,52,58,47
ASN00086282,"MELBOURNE AIRPORT, AS",27/9/2000,,33,56,0,0.19,59,68,49
ASN00086282,"MELBOURNE AIRPORT, AS",28/9/2000,,39,52,0,0,64,71,53
